short_id,config_id,arch_str,depth,width_sum,activation,optimizer,lr,weight_decay,dropout,batch_size,input_noise,momentum,nesterov,alpha,mean_mee,std_mee,mean_train,gen_gap,mean_epochs,min_mee,max_mee,elapsed_sec
C0503,64x64x32_tanh_adam_lr0.01_wd0.005_do0.2_bs32_ns0.01,64x64x32,3,160,tanh,adam,0.01,0.005,0.2,32,0.01,,,,23.588923177479693,0.7865969288184083,23.118732185048962,0.47019099243073015,47.6,22.775636793465804,24.89052637259536,8.531991243362427
C0039,64_relu_adam_lr0.005_wd0.001_do0_bs32_ns0.05,64,1,64,relu,adam,0.005,0.001,0.0,32,0.05,,,,23.595259139162486,0.6620124822653176,22.390394893279613,1.2048642458828738,34.0,22.942669894457907,24.521664554732542,3.476196527481079
C0239,64x32_relu_adam_lr0.001_wd0.001_do0.1_bs32_ns0.01,64x32,2,96,relu,adam,0.001,0.001,0.1,32,0.01,,,,23.596646589275874,0.5721033928631641,22.819491524027224,0.7771550652486496,60.2,22.969433930558903,24.388264331951916,7.293498754501343
C0448,64x64x32_relu_adam_lr0.01_wd0.005_do0.2_bs32_ns0,64x64x32,3,160,relu,adam,0.01,0.005,0.2,32,0.0,,,,23.597931500568958,0.7622108234052257,23.152070868426456,0.4458606321425016,42.6,22.945877479744727,24.8573672742531,6.5647971630096436
C0120,64_relu_nesterov_lr0.01_wd0.005_do0_bs32_ns0.05_momentum0.9_nesterovTrue,64,1,64,relu,nesterov,0.01,0.005,0.0,32,0.05,0.9,True,,23.600379449241387,0.6407500832835681,22.63299328259645,0.967386166644939,33.6,22.772680979303075,24.481802209915053,2.8930957317352295
C0331,64x32_relu_nesterov_lr0.01_wd0.001_do0.2_bs32_ns0_momentum0.9_nesterovTrue,64x32,2,96,relu,nesterov,0.01,0.001,0.2,32,0.0,0.9,True,,23.618408809610447,0.4811129433640416,23.212234433315825,0.40617437629462216,49.2,23.03325599407912,24.05064654768409,4.780224561691284
C0052,64_relu_adam_lr0.005_wd0.005_do0.2_bs32_ns0,64,1,64,relu,adam,0.005,0.005,0.2,32,0.0,,,,23.6252515241304,0.6356992842995991,22.720918688772578,0.9043328353578239,35.0,22.941594260584697,24.3295316548685,3.7158210277557373
C0249,64x32_relu_adam_lr0.001_wd0.005_do0.1_bs32_ns0.05,64x32,2,96,relu,adam,0.001,0.005,0.1,32,0.05,,,,23.631785539896207,0.3529221171441441,23.094744331311933,0.5370412085842737,56.2,23.21729017498466,23.99456283160477,6.832134485244751
C0051,64_relu_adam_lr0.005_wd0.005_do0.1_bs32_ns0.05,64,1,64,relu,adam,0.005,0.005,0.1,32,0.05,,,,23.641820692240408,0.9023993366643989,22.79554765583108,0.8462730364093289,32.2,22.54909526928559,24.85150375261576,3.59321928024292
C0118,64_relu_nesterov_lr0.01_wd0.005_do0_bs32_ns0_momentum0.9_nesterovTrue,64,1,64,relu,nesterov,0.01,0.005,0.0,32,0.0,0.9,True,,23.65668609231931,0.5654292495417192,22.435728674516014,1.2209574178032945,40.0,23.012213566558263,24.474821802628107,3.0988173484802246
C0112,64_relu_nesterov_lr0.01_wd0.001_do0.1_bs32_ns0_momentum0.9_nesterovTrue,64,1,64,relu,nesterov,0.01,0.001,0.1,32,0.0,0.9,True,,23.656968084740516,0.7617916165360556,22.576842942594705,1.0801251421458105,35.0,22.971970061531007,24.804466063481193,3.0937533378601074
C0113,64_relu_nesterov_lr0.01_wd0.001_do0.1_bs32_ns0.01_momentum0.9_nesterovTrue,64,1,64,relu,nesterov,0.01,0.001,0.1,32,0.01,0.9,True,,23.657728467378366,0.7824534138043249,22.557646493344425,1.100081974033941,34.6,22.89951289691049,24.701308706416405,3.1785430908203125
C0057,64_tanh_adam_lr0.01_wd0.001_do0_bs32_ns0.05,64,1,64,tanh,adam,0.01,0.001,0.0,32,0.05,,,,23.657802092758526,0.4907912707261559,23.045130544746833,0.6126715480116935,33.2,23.027742168457998,24.297486003106766,3.503370761871338
C0119,64_relu_nesterov_lr0.01_wd0.005_do0_bs32_ns0.01_momentum0.9_nesterovTrue,64,1,64,relu,nesterov,0.01,0.005,0.0,32,0.01,0.9,True,,23.66187591450384,0.5751350835207578,22.48029808218834,1.1815778323155008,37.8,23.013806121410646,24.509895851627483,3.148686170578003
C0374,64x32_relu_nesterov_lr0.005_wd0.005_do0.1_bs32_ns0.01_momentum0.9_nesterovTrue,64x32,2,96,relu,nesterov,0.005,0.005,0.1,32,0.01,0.9,True,,23.665325950734424,0.4164173496638841,23.124099317932487,0.5412266328019371,57.6,23.0243663443696,24.07555616329113,5.66082763671875
C0058,64_tanh_adam_lr0.01_wd0.001_do0.1_bs32_ns0,64,1,64,tanh,adam,0.01,0.001,0.1,32,0.0,,,,23.66975861199942,0.4955560730439616,23.06079986460863,0.6089587473907905,42.2,22.988456030207615,24.111897039261443,4.176770925521851
C0114,64_relu_nesterov_lr0.01_wd0.001_do0.1_bs32_ns0.05_momentum0.9_nesterovTrue,64,1,64,relu,nesterov,0.01,0.001,0.1,32,0.05,0.9,True,,23.67319501947062,0.789159463987776,22.689910224556108,0.9832847949145105,35.6,22.865622647731662,24.70054704586311,3.2317824363708496
C0121,64_relu_nesterov_lr0.01_wd0.005_do0.1_bs32_ns0_momentum0.9_nesterovTrue,64,1,64,relu,nesterov,0.01,0.005,0.1,32,0.0,0.9,True,,23.685708769820163,0.7672000099949992,22.8705004019095,0.8152083679106639,33.2,22.921486385769786,24.91313232593668,2.96207857131958
C0248,64x32_relu_adam_lr0.001_wd0.005_do0.1_bs32_ns0.01,64x32,2,96,relu,adam,0.001,0.005,0.1,32,0.01,,,,23.69068311872217,0.31548918484936267,23.139647966004596,0.5510351527175743,62.8,23.332794658214954,24.161935964486112,7.504478693008423
